restitution_center,month,year,resident_pop_month_start,resident_pop_month_end,resident_capacity
GREENWOOD RESTITUTION CENTER,November,2017,39,43,64
HINDS RESTITUTION CENTER,November,2017,62,68,76
FLOWOOD RESTITUTION CENTER,November,2017,69,65,78
PASCAGOULA RESTITUTION CENTER,November,2017,72,71,76
GREENWOOD RESTITUTION CENTER,December,2017,43,41,64
HINDS RESTITUTION CENTER,December,2017,68,60,76
FLOWOOD RESTITUTION CENTER,December,2017,65,66,78
PASCAGOULA RESTITUTION CENTER,December,2017,71,72,76
FLOWOOD RESTITUTION CENTER,January,2018,41,38,64
GREENWOOD RESTITUTION CENTER,January,2018,60,58,76
HINDS RESTITUTION CENTER,January,2018,66,63,78
PASCAGOULA RESTITUTION CENTER,January,2018,73,70,76
FLOWOOD RESTITUTION CENTER,February,2018,38,37,64
GREENWOOD RESTITUTION CENTER,February,2018,58,59,76
HINDS RESTITUTION CENTER,February,2018,63,63,78
PASCAGOULA RESTITUTION CENTER,February,2018,70,70,76
FLOWOOD RESTITUTION CENTER,March,2018,37,36,64
GREENWOOD RESTITUTION CENTER,March,2018,59,58,76
HINDS RESTITUTION CENTER,March,2018,58,70,78
PASCAGOULA RESTITUTION CENTER,March,2018,69,67,76
FLOWOOD RESTITUTION CENTER,April,2018,36,39,64
GREENWOOD RESTITUTION CENTER,April,2018,58,49,76
HINDS RESTITUTION CENTER,April,2018,70,69,78
PASCAGOULA RESTITUTION CENTER,April,2018,67,67,76
FLOWOOD RESTITUTION CENTER,May,2018,39,45,64
GREENWOOD RESTITUTION CENTER,May,2018,49,51,76
HINDS RESTITUTION CENTER,May,2018,69,73,78
PASCAGOULA RESTITUTION CENTER,May,2018,67,60,76
FLOWOOD RESTITUTION CENTER,June,2018,45,39,64
GREENWOOD RESTITUTION CENTER,June,2018,51,62,76
HINDS RESTITUTION CENTER,June,2018,73,74,78
PASCAGOULA RESTITUTION CENTER,June,2018,60,65,76
FLOWOOD RESTITUTION CENTER,July,2018,39,36,64
GREENWOOD RESTITUTION CENTER,July,2018,62,68,76
HINDS RESTITUTION CENTER,July,2018,74,77,78
PASCAGOULA RESTITUTION CENTER,July,2018,65,70,76
FLOWOOD RESTITUTION CENTER,August,2018,36,36,64
GREENWOOD RESTITUTION CENTER,August,2018,68,77,76
HINDS RESTITUTION CENTER,August,2018,77,73,78
PASCAGOULA RESTITUTION CENTER,August,2018,70,70,76
FLOWOOD RESTITUTION CENTER,September,2018,36,42,64
GREENWOOD RESTITUTION CENTER,September,2018,77,85,76
HINDS RESTITUTION CENTER,September,2018,73,75,78
PASCAGOULA RESTITUTION CENTER,September,2018,70,70,76
FLOWOOD RESTITUTION CENTER,October,2018,42,40,64
GREENWOOD RESTITUTION CENTER,October,2018,85,74,76
HINDS RESTITUTION CENTER,October,2018,75,75,78
PASCAGOULA RESTITUTION CENTER,October,2018,70,69,76
FLOWOOD RESTITUTION CENTER,November,2018,40,38,64
GREENWOOD RESTITUTION CENTER,November,2018,74,70,76
HINDS RESTITUTION CENTER,November,2018,75,73,78
PASCAGOULA RESTITUTION CENTER,November,2018,69,68,76
FLOWOOD RESTITUTION CENTER,December,2018,38,41,64
GREENWOOD RESTITUTION CENTER,December,2018,70,64,76
HINDS RESTITUTION CENTER,December,2018,73,78,78
PASCAGOULA RESTITUTION CENTER,December,2018,68,68,76
FLOWOOD RESTITUTION CENTER,January,2019,41,34,64
GREENWOOD RESTITUTION CENTER,January,2019,64,69,76
HINDS RESTITUTION CENTER,January,2019,78,73,78
PASCAGOULA RESTITUTION CENTER,January,2019,68,66,76
FLOWOOD RESTITUTION CENTER,February,2019,34,32,64
GREENWOOD RESTITUTION CENTER,February,2019,69,69,76
HINDS RESTITUTION CENTER,February,2019,73,71,78
PASCAGOULA RESTITUTION CENTER,February,2019,66,68,76
FLOWOOD RESTITUTION CENTER,March,2019,32,36,64
GREENWOOD RESTITUTION CENTER,March,2019,69,63,76
HINDS RESTITUTION CENTER,March,2019,71,76,78
PASCAGOULA RESTITUTION CENTER,March,2019,68,65,76
FLOWOOD RESTITUTION CENTER,April,2019,36,26,64
GREENWOOD RESTITUTION CENTER,April,2019,63,67,76
HINDS RESTITUTION CENTER,April,2019,76,71,78
PASCAGOULA RESTITUTION CENTER,April,2019,65,62,76
FLOWOOD RESTITUTION CENTER,May,2019,26,26,64
GREENWOOD RESTITUTION CENTER,May,2019,67,58,76
HINDS RESTITUTION CENTER,May,2019,71,76,78
PASCAGOULA RESTITUTION CENTER,May,2019,62,62,76
FLOWOOD RESTITUTION CENTER,June,2019,26,30,64
GREENWOOD RESTITUTION CENTER,June,2019,58,55,76
